stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2
20,2022,0.4312886566705768,-0.05895491884191559,-0.090961993776593,0.18697046547262283,-0.028503163457842633,-0.11703393579164018,0.1628583510382186,-0.020436736865534627,-0.12179300686417065,0.016311369663392878,0.05895491884191559
20,2023,0.4249468723874298,-0.05591867270724926,-0.0933836999103906,0.18534145001901667,-0.028048623411202168,-0.10747335012530496,0.15867785443225058,-0.018579755305994285,-0.11353487287159827,0.02829356519137624,0.05591867270724926
20,2024,0.4249468723874298,-0.05591867270724926,-0.0933836999103906,0.18534145001901667,-0.028048623411202168,-0.10747335012530496,0.15867785443225058,-0.018579755305994285,-0.11353487287159827,0.02829356519137624,0.05591867270724926
40,2022,0.32249630914933786,-0.015860122231146037,0.1098634355604068,0.08056882728169557,0.20192697972311388,0.2604515283226699,-0.08868018147161368,-0.265220536302859,-0.12552869737480282,-0.24592878282557407,0.015860122231146037
40,2023,0.18564046055825506,-0.12080738685507107,0.10014060359216241,0.10743573344176117,0.1496661489381562,0.22244745149042264,-0.07314805542235792,-0.27956268459098443,-0.10586532199726331,-0.2762606921913003,0.12080738685507107
40,2024,0.2926643610932955,0.02675711046194813,0.13445130481372322,0.07722995521680132,0.24035753036757584,0.22331634910678064,-0.09587096376988392,-0.26129734504593766,-0.11252176847995572,-0.23427119162921475,-0.02675711046194813
50,2022,0.3982332362664571,0.12882394119200483,-0.04243382583535435,0.2894450407115089,0.22828098330408886,0.14249623828963176,-0.017039829839080405,-0.15629525306159078,-0.19370073882874442,-0.03967608265080519,-0.12882394119200483
50,2023,0.4298919072681903,0.03916150119792203,-0.020023982169039955,0.3498131313133847,0.26936069980338273,0.08400477664332277,0.029829781975768802,-0.0839089788013645,-0.14796300341741106,-0.02329405460877669,-0.03916150119792203
50,2024,0.44527279912430023,-0.03354251107976237,-0.025496835916835853,0.2846890660470323,0.2569719229532671,0.047005714427768484,0.05151413521567939,-0.06722049266738937,-0.17484160361497864,-0.04371613258528133,0.03354251107976237
70,2022,0.5103090905871752,-0.2861266746013972,-0.1284593555076499,-0.05884550067765279,-0.09717798645671528,-0.09058932272772799,-0.02114039181604364,-0.01822159810058365,-0.029428189238495276,0.11629466173956142,0.2861266746013972
