company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
KG케미칼,1390,101220,2023,CFS,ok,8933057023552.0,442583708062.0,350715471304.0,7818145771325.0,4181830349010.0,3636315422315.0,비금융업
KG케미칼,1390,101220,2024,CFS,ok,8863142439982.0,318801578803.0,228495720589.0,8160948249649.0,4386466503710.0,3774481745939.0,비금융업
KR모터스,40,112378,2022,CFS,ok,117058740510.0,-6234392973.0,-13001279643.0,149185245583.0,109161230426.0,40024015157.0,비금융업
KR모터스,40,112378,2023,CFS,ok,78406266627.0,-17856852211.0,-21026668952.0,138570416599.0,116165786012.0,22404630587.0,비금융업
KR모터스,40,112378,2024,CFS,ok,16024969823.0,-4937030424.0,-14222283251.0,85272527872.0,52629712095.0,32642815777.0,비금융업
LG화학,51910,356361,2022,CFS,ok,51864888000000.0,2995698000000.0,2195518000000.0,67973823000000.0,30492696000000.0,37481127000000.0,비금융업
LG화학,51910,356361,2023,CFS,ok,55249785000000.0,2529196000000.0,2053425000000.0,77466694000000.0,36528509000000.0,40938185000000.0,비금융업
LG화학,51910,356361,2024,CFS,ok,48916104000000.0,916798000000.0,515011000000.0,93857762000000.0,45862299000000.0,47995463000000.0,비금융업
LS네트웍스,680,104698,2022,CFS,ok,362911031595.0,8016374672.0,-2397223065.0,1300442455061.0,748565972243.0,551876482818.0,비금융업
LS네트웍스,680,104698,2023,CFS,ok,379631754364.0,11618277292.0,10704983628.0,1309219122467.0,745211525600.0,564007596867.0,비금융업
LS네트웍스,680,104698,2024,CFS,ok,1933813959649.0,25619240717.0,-31890828301.0,9601505118160.0,8670672911334.0,930832206826.0,비금융업
LX인터내셔널,1120,120076,2022,CFS,ok,18759549404034.0,965543470335.0,779310807894.0,7719007333629.0,4682532060717.0,3036475272912.0,비금융업
LX인터내셔널,1120,120076,2023,CFS,ok,14514349869122.0,433109594096.0,193358801940.0,7995340730864.0,4920385836841.0,3074954894023.0,비금융업
