stock_code,fiscal_year,assets,debt,income
064350,2022,4823869784000.0,3332399192000.0,194534253000.0
064350,2023,5241484775000.0,3594508619000.0,156778978000.0
064350,2024,5285394740000.0,3276309551000.0,405259414000.0
000070,2022,4547781000000.0,2024270000000.0,105849000000.0
000070,2023,5136660179005.0,2340123861992.0,227014034818.0
000070,2024,5290507469287.0,2292419017261.0,89491916474.0
000100,2022,2472728072149.0,464921702703.0,90592526174.0
000100,2023,2814070521926.0,712337878463.0,134031517424.0
000100,2024,2942048836634.0,791378826075.0,55163455235.0
000150,2022,26315352623211.0,16017536857154.0,-581168717784.0
000150,2023,28286808651585.0,28286808651585.0,272073643932.0
000150,2024,30143063000000.0,30143063000000.0,302227000000.0
000210,2022,12018993889708.0,7401228917375.0,101846515303.0
000210,2023,,,-120978168525.0
000210,2024,,,94839002886.0
000270,2022,73710965000000.0,34367884000000.0,5408976000000.0
000270,2023,80627826000000.0,34069591000000.0,8777817000000.0
000270,2024,92755874000000.0,36915565000000.0,9775005000000.0
000320,2022,1171989377978.0,511163923981.0,33390806659.0
000320,2023,1188823571530.0,495031925010.0,51679439985.0
000320,2024,1214838948245.0,442599207599.0,82067736372.0
000370,2022,,,
000370,2023,18115263746011.0,18115263746011.0,212756867457.0
000370,2024,19834160583099.0,19834160583099.0,315967449038.0
000720,2022,20911708000000.0,10987431000000.0,470876000000.0
000720,2023,23714495000000.0,23714495000000.0,654281000000.0
000720,2024,27005385000000.0,27005385000000.0,-766221000000.0
001120,2022,7719007333629.0,4682532060717.0,779310807894.0
001120,2023,7995340730864.0,4920385836841.0,193358801940.0
001120,2024,8930865616216.0,5611254021107.0,269491720840.0
001230,2022,6451247796882.0,3164636526811.0,425456163404.0
001230,2023,2421648337449.0,2421648337449.0,231577736410.0
001230,2024,2509278276042.0,729676090365.0,19652546713.0
001430,2022,3818404052059.0,1846659305036.0,88310592966.0
001430,2023,3665171000621.0,1626121166492.0,125991352125.0
001430,2024,3826646864046.0,1795239994311.0,20273054942.0
001440,2022,1620264871000.0,738060568000.0,21830706000.0
001440,2023,1878565100000.0,925279344000.0,71872998000.0
001440,2024,2642726208000.0,2642726208000.0,74190402000.0
001450,2022,,,
001450,2023,44087986399072.0,44087986399072.0,607828606638.0
001450,2024,48523790593883.0,48523790593883.0,850533055882.0
001630,2022,1376372969554.0,577829023460.0,-22663808796.0
001630,2023,1456003650511.0,1456003650511.0,40575422161.0
001630,2024,1495801604857.0,646028179296.0,40294018711.0
001680,2022,3190196448368.0,1867569946984.0,82218894929.0
001680,2023,3334370027478.0,3334370027478.0,68563901324.0
001680,2024,3509835110048.0,2062236472429.0,96688841815.0
001800,2022,5102168431194.0,977214307936.0,323574721674.0
001800,2023,5138300057884.0,5138300057884.0,290412989562.0
001800,2024,5933196336149.0,5933196336149.0,479528618409.0
002030,2022,3182375948080.0,1317598873795.0,163508810507.0
002030,2023,3272086005881.0,3272086005881.0,175601384139.0
002030,2024,3334279155000.0,3334279155000.0,108442511000.0
002320,2022,4093197691709.0,2558814752905.0,51759790504.0
002320,2023,4201363599974.0,2661786978230.0,26107574417.0
002320,2024,4189506445715.0,2665596451720.0,-365000885.0
000080,2022,3333438311387.0,2172409936540.0,86816258840.0
000080,2023,3358347205530.0,2242471577188.0,35511119931.0
000080,2024,3441538598928.0,2292042901576.0,95735005249.0
000140,2022,3945000964667.0,2779584712819.0,72048976158.0
000140,2023,3979751148746.0,3979751148746.0,18315800358.0
000140,2024,4077443964617.0,2923029298430.0,90773142637.0
000230,2022,862553166894.0,693452985420.0,-194503503708.0
000230,2023,876999054796.0,876999054796.0,-118787164570.0
000230,2024,854701442970.0,854701442970.0,55583181698.0
000390,2022,587186274133.0,287461316451.0,
000390,2023,590613614037.0,281560002691.0,16130730290.0
000390,2024,619315087530.0,619315087530.0,15473334744.0
000400,2022,,,
000400,2023,,,
000400,2024,,,
000430,2022,1010418825338.0,412406943010.0,23233915898.0
000430,2023,1026303658490.0,1026303658490.0,37786380416.0
000430,2024,1302349327000.0,1302349327000.0,31896742000.0
000490,2022,1713773205581.0,1241782449283.0,38470968608.0
000490,2023,1956376110942.0,1956376110942.0,11919509695.0
000490,2024,2132627316122.0,2132627316122.0,-45134481978.0
000540,2022,,,
000540,2023,,,
000540,2024,,,
000680,2022,1300442455061.0,748565972243.0,-2397223065.0
000680,2023,1309219122467.0,1309219122467.0,10704983628.0
000680,2024,9601505118160.0,9601505118160.0,-31890828301.0
000700,2022,524926064872.0,79255169817.0,44118934136.0
000700,2023,514472137701.0,68107152536.0,23263597963.0
000700,2024,478715425251.0,67044758212.0,31644811581.0
000810,2022,,,
000810,2023,85019029989421.0,85019029989421.0,1821614343047.0
000810,2024,87269492540789.0,87269492540789.0,2076797712983.0
000860,2022,957791314832.0,278945532072.0,11666578220.0
000860,2023,985686727233.0,293589356337.0,21726050379.0
000860,2024,969739160656.0,264762207818.0,18123152497.0
000880,2022,,211175324000000.0,2243337000000.0
000880,2023,209738149000000.0,209738149000000.0,1635515000000.0
000880,2024,252036985000000.0,252036985000000.0,1690434000000.0
001060,2022,627972755001.0,402213719428.0,29852560173.0
001060,2023,645038796101.0,379598339300.0,38430259560.0
001060,2024,604598517283.0,604598517283.0,65040120873.0
001250,2022,1419412958453.0,1012698524738.0,68061370179.0
001250,2023,1401098380370.0,953110256832.0,26078650864.0
001250,2024,1439641460000.0,1439641460000.0,56067654000.0
001500,2022,,,
001500,2023,11585256846740.0,11585256846740.0,53511195192.0
001500,2024,11991996000000.0,11991996000000.0,36150000000.0
001510,2022,,,
001510,2023,6449093771600.0,6449093771600.0,3187786850.0
001510,2024,6109295395638.0,6109295395638.0,-83270261783.0
001720,2022,,,
001720,2023,,,
001720,2024,10609935089040.0,8921462823065.0,149387962241.0
000240,2022,4301818675789.0,445377543909.0,163859841867.0
000240,2023,4640995961705.0,4640995961705.0,187234321156.0
000240,2024,5136426181879.0,5136426181879.0,350713050064.0
000500,2022,752332445010.0,449261889191.0,10463889335.0
000500,2023,801805532215.0,801805532215.0,17898342263.0
000500,2024,1042884426000.0,1042884426000.0,25355195000.0
000670,2022,5871933652466.0,1468547025489.0,415564249162.0
000670,2023,5568116970055.0,5568116970055.0,-83369162564.0
000670,2024,5701707714763.0,5701707714763.0,-327809725720.0
002350,2022,3944336739608.0,2348104911877.0,-27505695404.0
002350,2023,4232661554569.0,4232661554569.0,103115550054.0
002350,2024,4574474470953.0,4574474470953.0,126718873995.0
002600,2022,433755476780.0,279570331873.0,11131140357.0
002600,2023,394002199996.0,394002199996.0,355244125.0
002600,2024,399122282497.0,399122282497.0,2514305703.0
003240,2022,4910005420529.0,702185269043.0,342230059328.0
003240,2023,4738292443387.0,708793032453.0,31797210223.0
003240,2024,4722277800717.0,706711261253.0,220762918258.0
003280,2022,317059936570.0,181755200200.0,23809908600.0
003280,2023,325653339437.0,325653339437.0,34733504205.0
003280,2024,443559317530.0,443559317530.0,39961399082.0
003920,2022,902259070497.0,164307809198.0,-78442348379.0
003920,2023,790678468255.0,112447509970.0,-67099919179.0
003920,2024,724193724088.0,724193724088.0,249980282.0
004370,2022,3034718535547.0,719378356883.0,116033570018.0
004370,2023,3234751426458.0,793949665281.0,171469224876.0
004370,2024,3597461570702.0,924886441245.0,157630314203.0
004540,2022,661046979250.0,419699356872.0,-2908390769.0
004540,2023,641522252002.0,429919829263.0,-30844136630.0
004540,2024,621077310491.0,430942361723.0,
005090,2022,3054362176494.0,2187874937878.0,148411627493.0
005090,2023,2967510633959.0,2967510633959.0,17169648910.0
005090,2024,3436299886778.0,3436299886778.0,35894883016.0
005290,2022,1374303530098.0,673516166268.0,156195316180.0
005290,2023,1606588027004.0,1606588027004.0,123534360586.0
005290,2024,2016989003189.0,996558402618.0,143484559745.0
005500,2022,406556944095.0,130692791177.0,21900918791.0
005500,2023,,,
005500,2024,,,
005610,2022,1295399585606.0,906290707171.0,53236796550.0
005610,2023,1293732304548.0,1293732304548.0,50228465295.0
