stock_code,fiscal_year,Climate Change,Natural Capital,Pollution & Waste,Human Capital,Product Liability,Community Relations,Corporate Governance,Business Ethics & Values,Non-ESG,E_finbert,S_finbert,G_finbert,X_finbert
000020,2022,0.0063083707566627045,0.09172151232434606,0.011963040197522125,0.044489913239059126,0.14858850217635997,0.04796437540790066,0.3315291045318273,0.14082788259044968,0.17660729107129472,0.036664307759510295,0.08034759694110659,0.23617849356113851,0.17660729107129472
000020,2023,0.006646896118763834,0.005218494602013379,0.01199988363077864,0.04848339243326336,0.16227307192748414,0.05136765144416131,0.3645293589681387,0.15458866802509874,0.19489257494569756,0.007955091450518618,0.08737470526830293,0.2595590134966187,0.19489257494569756
000020,2024,0.006644570617936552,0.005220023938454688,0.012011944397818297,0.048387549573089925,0.16219131756806746,0.051356499159010124,0.3645111121237278,0.15454929248662666,0.1951276854670141,0.007958846318069845,0.0873117887667225,0.2595302023051772,0.1951276854670141
000040,2022,0.05046062318918606,0.005995307971412937,0.023441379230159026,0.20507134951185435,0.3590659495287885,0.002599007935107996,0.33701436314731836,0.012477210567643246,0.0038748325896449387,0.026632436796919342,0.18891210232525027,0.1747457868574808,0.0038748325896449387
000040,2023,0.0021649738773703575,0.007199885323643684,0.004579129628837109,0.678625762462616,0.2576528489589691,0.01523386687040329,0.0029077669605612755,0.029023412615060806,0.002612266456708312,0.00464799627661705,0.31717082609732944,0.01596558978781104,0.002612266456708312
000040,2024,0.0057681972975842655,0.006391760747646913,0.037556357662348695,0.21894627825046578,0.36964165280611877,0.0021655127541938177,0.3390195369720459,0.0181771566082413,0.002333563092785577,0.016572105235859957,0.1969178146035928,0.1785983467901436,0.002333563092785577
000050,2022,0.039605702717381064,0.02860865320690209,0.06721303004451329,0.03196579377981834,0.05632358981165453,0.07989460081080324,0.6121055339754093,0.029562132491264492,0.05472097822348587,0.045142461989598814,0.05606132813409204,0.3208338332333369,0.05472097822348587
000050,2023,0.04111239641206339,0.028618376009399073,0.09533672878169455,0.15911561676766722,0.025374389960779807,0.11260879126784858,0.48930838231462986,0.038805309147574005,0.00972000507172197,0.05502250040105234,0.09903293266543188,0.26405684573110194,0.00972000507172197
000050,2024,0.10455193744168025,0.008891081474509767,0.1282005580618385,0.1446158996338702,0.022456115394809538,0.1023495218753603,0.44477249177130446,0.035220586895858025,0.008941824447405948,0.08054785899267618,0.08980717896801334,0.23999653933358123,0.008941824447405948
000070,2022,0.25603757737826527,0.04230793683018419,0.23151189072905254,0.037155771241486946,0.034110691508431046,0.0184506389764465,0.3317416564677842,0.01964500179474271,0.02903884944953461,0.17661913497916734,0.02990570057545483,0.17569332913126345,0.02903884944953461
000070,2023,0.22852217039249617,0.041655039392552634,0.31733160433711755,0.03780232238702746,0.06279920236173846,0.03703933517987791,0.1893404219774407,0.01747264774243568,0.06803727031097208,0.19583627137405543,0.045880286642881275,0.10340653485993818,0.06803727031097208
000070,2024,0.22663823846232845,0.037458226967525356,0.403017256587595,0.03391130775869695,0.014374942461775694,0.027975052119371766,0.2223474932244345,0.01818600779693548,0.016091476542998053,0.22237124067248293,0.02542043411328147,0.120266750510685,0.016091476542998053
000080,2022,0.1126311890886075,0.01700473860124006,0.08634891186750704,0.09593756326320281,0.09779226442708844,0.09652683770963771,0.29660676000264263,0.08965522373534529,0.10749651452117119,0.0719949465191182,0.09675222179997632,0.19313099186899396,0.10749651452117119
000080,2023,0.0631271334334641,0.016943572593964232,0.1115975015285506,0.10596335441020885,0.09281948140794513,0.1236130311558752,0.27227284060031903,0.12013711127624645,0.09352596976627271,0.06388940251865964,0.10746528899134306,0.19620497593828273,0.09352596976627271
000080,2024,0.1099003184697887,0.015337511074242437,0.11450512298589191,0.11089388089153958,0.09348644739128015,0.12013982466041026,0.3241047187660694,0.041872847423126754,0.06975935494516637,0.07991431750997435,0.10817338431441,0.18298878309459807,0.06975935494516637
000100,2022,0.07229163682628,0.05929844289428068,0.04912002332143443,0.147851701137287,0.056071980279904725,0.08669941063007255,0.32459213547355664,0.1465903234480224,0.05748435626975896,0.06023670101399836,0.09687436401575476,0.23559122946078953,0.05748435626975896
000100,2023,0.15680562385453164,0.019890439890811896,0.00632664004700597,0.1258880021579733,0.013158143817351878,0.0486579439740374,0.4530229818964885,0.14700869866011834,0.02924151866358112,0.06100756793078318,0.06256802998312085,0.3000158402783034,0.02924151866358112
000100,2024,0.19298589915269987,0.03018361950202638,0.010622832464933809,0.10523355115890606,0.03370047020564218,0.09735876908655175,0.40344858980065007,0.08797213422302674,0.038494147691461776,0.07793078370655336,0.0787642634837,0.2457103620118384,0.038494147691461776
000120,2022,0.07576254440937191,0.07494220568878518,0.050362852607577224,0.09802182704515872,0.01455671828443883,0.21998637326760218,0.35455530953549896,0.0885878343378863,0.02322429152627592,0.06702253423524478,0.11085497286573325,0.22157157193669264,0.02322429152627592
000120,2023,0.06311893328148428,0.19300742634333715,0.18886012235418007,0.07186594468796448,0.025576479037270127,0.13998565799695262,0.2665624497402903,0.03320400727153312,0.017818970848262932,0.14832882732633382,0.07914269390739574,0.1498832285059117,0.017818970848262932
000140,2022,0.1369492702095,0.022875652296731816,0.10051053627672524,0.12457766903326442,0.11435092289415795,0.09452714855180365,0.3022307665239129,0.010683845610955083,0.09329420336238715,0.08677848626098568,0.11115191349307535,0.156457306067434,0.09329420336238715
000140,2023,0.053464130348792036,0.016900268128319157,0.10874634814432024,0.13602091391831414,0.10756072444408867,0.09731751324337286,0.39657581510255113,0.03686029168810429,0.04655400327118557,0.059703582207143814,0.11363305053525856,0.2167180533953277,0.04655400327118557
