stock_code,fiscal_year,E_consistency,G_consistency,S_consistency,ESG_consistency,E_greenwash_flag,G_greenwash_flag,S_greenwash_flag,z_E_intensity,z_E_content,z_E_semantic,z_G_intensity,z_G_content,z_G_semantic,z_S_intensity,z_S_content,z_S_semantic
000020,2022,-0.8106219119867227,-1.0441815692613792,-0.20223737212951923,-0.685680284459207,0,0,0,-1.2641618509404342,0.27842037210974396,-0.060836346772574296,-0.2885207845178579,-0.8565430865637298,-2.312922250108003,0.299523559816569,0.27842037210974396,-0.060836346772574296
000020,2023,-0.7808887675571402,-0.8627630400152982,-0.24718014730985888,-0.6302773182940992,0,0,0,-1.2641618509404342,0.2657002695769646,-0.22719546017256356,-0.1923214924436708,-0.9190474434276156,-1.9110376447032997,-0.013678209752752168,0.2657002695769646,-0.22719546017256356
000020,2024,-0.781010528113994,-0.8654669599887578,-0.2464957441720392,-0.6309910774249303,0,0,0,-1.2641618509404342,0.2657002695769646,-0.22614883553052936,-0.18720724251941404,-0.9190474434276156,-1.9115847831414166,-0.009272502173493687,0.2657002695769646,-0.22614883553052936
000040,2022,-0.8768662222577538,-2.4798820025319768,-0.4097397203151952,-1.2554959817016418,0,0,0,-1.2641618509404342,0.09787827927361441,0.3735808113569285,-1.1944031177144692,-1.9287958485502974,2.6863346885700974,0.9040490800919081,0.09787827927361441,0.3735808113569285
000040,2023,-1.170485654181602,-2.7213017315312973,-1.167286896629452,-1.686358094114117,0,0,1,-1.2641618509404342,0.537546180801557,0.9311017315678368,-4.184950317558723,-3.2776412865730027,0.9161811568683629,2.72718913438272,0.537546180801557,0.9311017315678368
000040,2024,-1.1006393214951624,-2.820825158096741,-0.6950920696524718,-1.5388521830814585,0,0,0,-1.2641618509404342,-0.08066309895330426,0.9349825530713443,-0.8780014583854527,-2.22281826306145,3.194562693364748,1.2492344730668512,-0.08066309895330426,0.9349825530713443
000050,2022,-0.2851292878580094,-0.774867588753647,-0.6471581127865398,-0.5690516631327321,0,0,0,-0.08047664569169571,-0.5082636604686677,-0.6209353607713898,0.36692801062943514,-1.1823359077915736,-0.3746082749701615,0.5520560695834095,-0.5082636604686677,-0.6209353607713898
000050,2023,-0.20005282457859985,-0.5433896433764908,-0.48627660729124556,-0.40990635841544537,0,0,0,0.2644436759290932,-0.13263026993352803,0.02333195692168441,-0.04170368102158378,-0.8703093894208275,-1.0650027163197655,0.7767061551640194,-0.13263026993352803,0.02333195692168441
000050,2024,-0.28724897289007,-0.6281789103542089,-0.1574866594396409,-0.35763818089464,0,0,0,0.7022545948973948,0.171957187637081,0.24573083498000342,-0.35633448959230335,-0.7187159717743261,-1.5793198247708797,0.47403117242812565,0.171957187637081,0.24573083498000342
000070,2022,-0.13141595281397633,-0.28092404588281095,-1.0763127384640234,-0.4962175790536036,0,0,0,1.2246700244694912,1.2301376893652887,0.9998340073272999,-0.6288382088649972,-0.07772104208207839,-0.25863629489298734,-0.7385425419055477,1.2301376893652887,0.9998340073272999
000070,2023,-0.25408429033010294,-1.042022367887704,-1.5111932865138538,-0.9357666482438868,0,0,0,1.2513829853298735,1.702446605616686,1.679603442461639,-1.1616525190986262,0.6269535874166112,-1.1936852539530698,-0.9263637682567837,1.702446605616686,1.679603442461639
000070,2024,-0.20576318159839,-0.7185488054413285,-1.5213596313791309,-0.8152238728062832,0,0,0,1.2902340872791465,1.6852050029103172,1.5877892336051995,-1.0019381125296847,0.41455377662935705,-0.5036926521483375,-0.997224205247854,1.6852050029103172,1.5877892336051995
000080,2022,-0.4347659054842413,-1.0837947786970787,-0.33008663518652875,-0.6162157731226162,0,0,0,0.13689132132081383,-0.6839366799352482,-0.02503682059473356,0.8008600395783354,1.40414350035841,-0.700515192363114,-0.3189932056817701,-0.6839366799352482,-0.02503682059473356
000080,2023,-0.3869456143321286,-1.4845760336149314,-0.35890867448137626,-0.743476774142812,0,1,0,-0.0023665019986122467,-0.6118566652773582,0.10589208584019372,0.8098836438926167,1.2702528884619253,-1.500196113319977,-0.26157633159836696,-0.6118566652773582,0.10589208584019372
000080,2024,-0.5260392491994379,-1.0141813562727775,-0.4493736592846676,-0.6631980882522943,1,0,0,0.036058687217771224,-0.9581807364013109,-0.1631216826341802,1.0878429519751367,1.098356370717046,-0.6634903794015042,-0.19771749278166761,-0.9581807364013109,-0.1631216826341802
000100,2022,-0.38223400745503955,-0.19806411720034717,-0.2490288822527225,-0.2764423356360364,0,0,0,-0.6276092095573986,0.11415461739964289,-0.09657634188580802,-0.3568301161398562,0.034413942120915045,-0.10750288499150751,0.39960942853913384,0.11415461739964289,-0.09657634188580802
000100,2023,-0.1554854250420023,-0.7269001464594219,-0.3427385332853142,-0.4083747015955794,0,0,0,-0.17950398206515886,-0.09270138284233265,-0.3947068853925174,-0.054503743362424056,-1.0975347841610417,0.30103042395048646,0.2892157603486786,-0.09270138284233265,-0.3947068853925174
000100,2024,-0.1065821739431971,-0.3545302831230709,-0.1948840050724881,-0.21866548737958538,0,0,0,-0.032102275061967604,0.18104987717654086,0.07249911008334704,-0.47760363582702914,0.2267696006070056,-0.054926431000472856,0.4509686862396977,0.18104987717654086,0.07249911008334704
000120,2022,-0.1778759440838155,-0.33977987703730594,-0.10962852267336759,-0.2090947812648297,0,0,0,0.009132672062417638,0.36259734915712544,0.15098527457469776,0.3108863373813154,-0.17881548849880766,-0.3420027916803682,0.3064952993198977,0.36259734915712544,0.15098527457469776
000120,2023,-0.29121135906651135,-0.550878725864441,-0.45014652991427606,-0.43074553828174283,0,0,0,0.24451829613590015,0.7914154118643628,0.6914310449849287,-0.3195671341220957,0.1416690833023209,-0.955463869848286,-0.033430331912003876,0.7914154118643628,0.6914310449849287
000140,2022,-0.3774855161547094,-1.7224612139724351,-0.4677501802749199,-0.8558989701340215,0,1,0,0.2294507719694887,-0.06473639881773212,0.6845003390968715,0.21854224092105518,1.1671188889611044,-2.175229695585713,-0.17525092542717371,-0.06473639881773212,0.6845003390968715
