stock_code,fiscal_year,E_seed,S_seed,G_seed,ESG_seed_index,E_seed_norm,S_seed_norm,G_seed_norm,ESG_seed_norm,E_seed_log,S_seed_log,G_seed_log,ESG_seed_log,text_length,induty_code,induty_name,E_intensive,E_ratio,S_ratio,G_ratio,E_seed_win,S_seed_win,G_seed_win,E_seed_norm_log,S_seed_norm_log,G_seed_norm_log,ESG_seed_norm_log,E_industry_z,S_industry_z,G_industry_z
000020,2022,0,4,11,15,0.0,3.0745580322828596,8.455034588777863,11.529592621060724,0.0,1.6094379124341005,2.4849066497880004,2.772588722239781,1301,212,의약품,0,0.0,0.26666666666666666,0.7333333333333333,0,4.0,11,0.0,1.404762282475301,2.2465473603562796,2.5280932560937845,-0.651264084142891,-0.15639640481297556,-0.6546100057386094
000020,2023,0,3,11,14,0.0,2.452984464431725,8.994276369582993,11.447260834014717,0.0,1.3862943611198906,2.4849066497880004,2.70805020110221,1223,212,의약품,0,0.0,0.21428571428571427,0.7857142857142857,0,3.0,11,0.0,1.2392389192467712,2.3020125660900903,2.5215005853720815,-0.651264084142891,-0.51248361481546,-0.561806985108358
000020,2024,0,3,11,14,0.0,2.461033634126333,9.023789991796551,11.484823625922887,0.0,1.3862943611198906,2.4849066497880004,2.70805020110221,1219,212,의약품,0,0.0,0.21428571428571427,0.7857142857142857,0,3.0,11,0.0,1.241567282643067,2.3049612668352504,2.5245137967535283,-0.651264084142891,-0.507872404610209,-0.5567277175355285
000040,2022,0,2,2,4,0.0,4.6082949308755765,4.6082949308755765,9.216589861751151,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341005,434,319,가구,0,0.0,0.5,0.5,0,2.0,2,0.0,1.7242467394470677,1.7242467394470677,2.3240128560758517,-0.9084602218538004,-0.08832952698153092,0.2448230000474534
000040,2023,0,1,0,1,0.0,13.698630136986305,0.0,13.698630136986305,0.0,0.6931471805599453,0.0,0.6931471805599453,73,319,가구,0,0.0,1.0,0.0,0,1.0,0,0.0,2.6877543014823075,0.0,2.6877543014823075,-0.9084602218538004,1.9045653703257222,-1.9567521590731123
000040,2024,0,2,2,4,0.0,5.730659025787966,5.730659025787966,11.461318051575931,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341005,349,319,가구,0,0.0,0.5,0.5,0,2.0,2,0.0,1.9066730624564856,1.9066730624564856,2.522629290395211,-0.9084602218538004,0.15772891057401464,0.7810232537014591
000050,2022,1,2,7,10,1.8281535648994511,3.6563071297989023,12.79707495429616,18.281535648994513,0.6931471805599453,1.0986122886681098,2.0794415416798357,2.3978952727983707,547,47119,소매,0,0.1,0.2,0.7,1,2.0,7,1.0396240481510848,1.5382226725574757,2.624456609862887,2.959147935854633,0.34225163306382506,0.34482120485501033,-0.4988771779252456
000050,2023,2,3,7,12,2.828854314002829,4.243281471004243,9.9009900990099,16.973125884016973,1.0986122886681098,1.3862943611198906,2.0794415416798357,2.5649493574615367,707,47119,소매,0,0.16666666666666666,0.25,0.5833333333333334,2,3.0,7,1.3425656237177284,1.6569475372541596,2.3888536198814205,2.8888776358079618,0.9940033076209301,1.0820077948959752,-1.266386900689264
000050,2024,4,3,7,14,4.624277456647399,3.468208092485549,8.092485549132949,16.184971098265898,1.6094379124341005,1.3862943611198906,2.0794415416798357,2.70805020110221,865,47119,소매,0,0.2857142857142857,0.21428571428571427,0.5,4,3.0,7,1.727092487688226,1.496987454089643,2.207448308560499,2.844035228500319,2.1633539259807595,0.10858585660746203,-1.7456701037210771
000070,2022,35,6,30,71,7.898894154818326,1.3540961408259986,6.7704807041299935,16.023470999774318,3.58351893845611,1.9459101490553132,3.4339872044851463,4.276666119016055,4431,64992,금융,0,0.49295774647887325,0.08450704225352113,0.4225352112676056,35,6.0,30,2.185927016750538,0.8561568494764816,2.050332029149289,2.8345930388849814,2.060528584817685,-0.6785621471898458,-0.6852635081063889
