stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC5,TFPC6,TFPC7,TFPC8,TFPC9,TFPC10,TFPC11,TFPC12,TFPC13,TFPC14,TFPC15,TFPC16,TFPC17,TFPC18,TFPC19,TFPC20,TFPC21,TFPC22,TFPC23,TFPC24,TFPC25,TFPC26,TFPC27,TFPC28,TFPC29,TFPC30,TFPC31,TFPC32,TFPC33,TFPC34,TFPC35,TFPC36,TFPC37,TFPC38,TFPC39,TFPC40
20,2022,0.4312886566705768,-0.05895491884191559,-0.090961993776593,0.18697046547262283,0.08421258204590339,0.3499436588377587,-0.028503163457842633,-0.026424792181627126,-0.24660810977813416,0.08876609697213386,-0.23048872495812056,-0.11703393579164018,-0.13308052977621634,0.20655001505182075,0.1628583510382186,-0.09053685571027349,-0.020436736865534627,0.16482616487367166,-0.08887286723297351,-0.12179300686417065,-0.09962383677165233,0.05671914432087795,-0.13572321614767344,0.004666416109255009,0.13307014971492243,0.016311369663392878,0.1758586994388732,-0.0943904368862179,0.11368205239740342,0.09881960822232058,-0.11934756032125839,0.13274203912788002,0.050637173217951775,0.015783123491401173,0.04884469688304821,-0.02024366161544994,0.0324490733776984,-0.04550667763317683,0.035880979278857375,-0.12013553551458017
20,2023,0.4249468723874298,-0.05591867270724926,-0.0933836999103906,0.18534145001901667,0.06840410970856606,0.3549580362031376,-0.028048623411202168,-0.02946619638544405,-0.24955313778616775,0.09409840497323357,-0.22844408893550355,-0.10747335012530496,-0.13992302527586153,0.20703054480736996,0.15867785443225058,-0.082604090045837,-0.018579755305994285,0.1835605561955984,-0.07340448695113087,-0.11353487287159827,-0.11258180648344392,0.07170617499015551,-0.1461219210039141,-0.0057677638725524,0.15365883644202688,0.02829356519137624,0.18203254592100757,-0.08027869684916313,0.0948696042248824,0.0819153587477688,-0.10833585566813088,0.14548116058403304,0.04900454685187488,-0.00039662948477669997,0.06357707332565583,-0.011716093354817459,0.023534633327341258,-0.03912138400721497,0.03586339730297673,-0.12714837656208167
20,2024,0.4249468723874298,-0.05591867270724926,-0.0933836999103906,0.18534145001901667,0.06840410970856606,0.3549580362031376,-0.028048623411202168,-0.02946619638544405,-0.24955313778616775,0.09409840497323357,-0.22844408893550355,-0.10747335012530496,-0.13992302527586153,0.20703054480736996,0.15867785443225058,-0.082604090045837,-0.018579755305994285,0.1835605561955984,-0.07340448695113087,-0.11353487287159827,-0.11258180648344392,0.07170617499015551,-0.1461219210039141,-0.0057677638725524,0.15365883644202688,0.02829356519137624,0.18203254592100757,-0.08027869684916313,0.0948696042248824,0.0819153587477688,-0.10833585566813088,0.14548116058403304,0.04900454685187488,-0.00039662948477669997,0.06357707332565583,-0.011716093354817459,0.023534633327341258,-0.03912138400721497,0.03586339730297673,-0.12714837656208167
40,2022,0.32249630914933786,-0.015860122231146037,0.1098634355604068,0.08056882728169557,-0.04979460393545961,0.13621622089547605,0.20192697972311388,0.215496102827078,0.0971017518665769,0.026457462991879756,-0.01035464660250679,0.2604515283226699,-0.1275412406800289,-0.013672452490118042,-0.08868018147161368,-0.03417668748356594,-0.265220536302859,0.04616143645568806,0.04385572276797682,-0.12552869737480282,0.012780721622585464,-0.09920317431646503,-0.06261687063960454,0.10587823522474397,0.023917862058137944,-0.24592878282557407,0.019342151170024965,0.19643407856341893,-0.07251323923407106,-0.11619366639968708,0.1495332938493245,0.02763825246349856,-0.003079887707966751,-0.021965925356290147,-0.07714086382576925,0.05687565354943656,0.10861840015439321,-0.08491638971020181,-0.13843893202043245,0.08978261241173348
40,2023,0.18564046055825506,-0.12080738685507107,0.10014060359216241,0.10743573344176117,-0.16135680025470267,0.19574072239922205,0.1496661489381562,-0.004521000078404158,0.011570579876900317,-0.00012591721253517443,-0.11759376493182343,0.22244745149042264,-0.07382268951416869,0.03013602078380471,-0.07314805542235792,-0.05041992981112219,-0.27956268459098443,0.05082826094403696,0.044550903820218604,-0.10586532199726331,-0.1400727180953385,-0.08820298859170894,-0.09028440322841486,0.047103111746664254,-0.026151439502770032,-0.2762606921913003,0.06300228256525747,0.17498199395921923,-0.015559442428537323,-0.17896166436732475,0.058681517955020836,-0.021565855290735982,-0.11451100617099642,0.03407924489601217,-0.021236967868935006,0.08254084138192339,0.07814831470558273,0.018573362302679287,-0.09759838405900162,0.13140729243612836
40,2024,0.2926643610932955,0.02675711046194813,0.13445130481372322,0.07722995521680132,-0.10773287293219042,0.1052095223636068,0.24035753036757584,0.19836678413462674,0.11926027007119037,0.037336759955066766,-0.030892080407846866,0.22331634910678064,-0.1475366488522611,0.01681650657698765,-0.09587096376988392,-0.039566293919228286,-0.26129734504593766,0.04002323208575276,0.02386987339096543,-0.11252176847995572,0.02446862782460429,-0.10573290085905156,-0.08885816361533216,0.08808683162857492,0.007387837409106344,-0.23427119162921475,0.035264112347395314,0.1698150794329321,-0.05106842067034936,-0.13324714644662827,0.13991138523231678,-0.04383542072867979,-0.0008413725092503604,0.027094599989003557,-0.08191985981289111,0.10215893841270172,0.08035585386688374,-0.08520555861088264,-0.17089808853022037,0.13804545071881988
50,2022,0.3982332362664571,0.12882394119200483,-0.04243382583535435,0.2894450407115089,-0.01908126910546599,-0.09774253463323108,0.22828098330408886,-0.05400806971224314,0.14277705760598777,0.2137253583821923,0.18410276042102686,0.14249623828963176,-0.1509731450476107,0.002546678780127768,-0.017039829839080405,0.021492277364960913,-0.15629525306159078,-0.04777848162443917,-0.1125716589669467,-0.19370073882874442,-0.0694352439116724,0.012071021089226664,-0.03584792019978766,0.01103056381838601,0.1547609039264313,-0.03967608265080519,-0.024672444159017915,0.0049580873739365795,0.01887800807267902,-0.013588312137430485,0.004730922444218114,0.0013996908917648459,0.0073712414297476304,0.16099104111605697,-0.008871172273223028,0.13762839817252648,-0.06913331267056969,-0.0988397130034777,-0.05709800381259747,0.09304586372939423
50,2023,0.4298919072681903,0.03916150119792203,-0.020023982169039955,0.3498131313133847,0.08639401017392291,-0.1580672642994553,0.26936069980338273,-0.05014478596139575,0.11017710927896474,0.14747239259350436,0.11444900306663897,0.08400477664332277,-0.16305901711755746,0.03791622538747649,0.029829781975768802,-0.012124141566609915,-0.0839089788013645,-0.06001841836278244,-0.11735054152516271,-0.14796300341741106,-0.042303425807201867,0.04922003778952384,-0.022276832825955908,0.008549839461743848,0.1092169741220682,-0.02329405460877669,-0.04077831810244415,-0.042082008879360235,0.013029084122277825,0.06395441616988809,-0.04552966343276404,-0.04861991862281136,0.06229171572081231,0.202052175108229,0.0031224832980692734,0.049759610899333576,-0.028843135509872306,-0.028299339832814373,-0.0913489749589323,0.05698677399188096
50,2024,0.44527279912430023,-0.03354251107976237,-0.025496835916835853,0.2846890660470323,0.10648602430312291,-0.16775784296673893,0.2569719229532671,-0.038548871099725546,0.05356034980523951,0.11072896415109477,0.15006689400201126,0.047005714427768484,-0.14983089101140437,0.0384652998501007,0.05151413521567939,-0.039717998256342195,-0.06722049266738937,-0.0874839393325738,-0.08994724554438961,-0.17484160361497864,-0.023261509439206882,0.055203891769275044,-0.009922699480174605,-0.008929395946728041,0.08950391979657758,-0.04371613258528133,-0.05297809251758992,-0.06190674891852727,0.04329609537915615,0.024640420175617284,-0.03883283960076036,-0.06604303350936166,0.040297827301470523,0.18096225907403557,0.023165273831343987,-0.025734546484285255,-0.009610150153103124,-0.028485998162427025,-0.08309244140079312,0.04771430852158363
70,2022,0.5103090905871752,-0.2861266746013972,-0.1284593555076499,-0.05884550067765279,-0.1924468944182904,-0.015789573257931986,-0.09717798645671528,0.0007958392805131143,0.09856170689576942,0.19957035642099613,0.008827077164773676,-0.09058932272772799,0.07389973134328641,0.030991878044595005,-0.02114039181604364,0.04311016448598753,-0.01822159810058365,0.05173715152011726,0.08834098235695838,-0.029428189238495276,0.022272379303828433,0.10233870799379369,0.01403013516209382,-0.007568822366843279,-0.11072990485263004,0.11629466173956142,0.04284972996359152,0.07686380592821529,-0.08664768963072497,0.09980219344705284,0.0067564993945408575,0.07551563785141358,0.0782520888897024,0.02373804576982501,-0.11459406954975297,-0.063499199734935,-0.10014740517563395,-0.07375060919406617,-0.03909141390814509,-0.02328192442310545
