stock_code,fiscal_year,neg_KRFPC1,KRFPC2
000020,2022,0.30767216000456776,-0.36919631417442844
000020,2023,0.05896598618681977,-0.3609604906460273
000020,2024,0.059942770392106846,-0.36280876140606966
000040,2022,-0.2906584531716846,-0.8265599121722177
000040,2023,0.6721944308883459,-2.1332141267232583
000040,2024,-0.24810868997518581,-0.9167015273057189
000050,2022,-1.0293617700288233,-0.25209771824998883
000050,2023,-0.44775541796378293,-0.28356974032678894
000050,2024,-0.13481544564257342,-0.2894764534056117
000070,2022,1.199518715556826,0.33053155477696455
000070,2023,1.7311361055812788,0.05069817670645462
000070,2024,1.8350645989869407,-0.031563343918628806
000080,2022,0.06634477896151152,-0.15215840358987695
000080,2023,-0.022404898958707942,0.0637166434258277
000080,2024,0.0589239649583761,-0.13803002730353478
000100,2022,0.20444501221914518,0.506478028474584
000100,2023,0.08482714527563352,0.8439687463629127
000100,2024,0.44855781712247145,0.6254633428264604
000120,2022,-0.33639310723341304,0.004690895152375843
000120,2023,0.5086975931459253,-0.03210588608626936
000140,2022,0.9274099641277912,0.07325664926200336
000140,2023,0.5221584541393246,0.2513815789828343
000140,2024,0.5394045425040441,0.0717624577407306
000150,2022,2.1558787881445265,-0.03840964364053089
000150,2023,2.207198750107738,-0.1515513508921567
000150,2024,2.1457368520061424,-0.15882965153325557
000180,2022,0.6074849222177849,-0.045978915431257115
000180,2023,0.48979853701640136,0.036079010669697105
000180,2024,0.4550149839717629,0.15888918491155707
000210,2022,1.7583964343648937,-0.19283175123915688
000210,2023,1.7279443158509709,-0.33801076326090385
000210,2024,1.8139232097061881,-0.23650097336073367
000220,2022,0.16196532270856545,0.08194675980266404
000220,2023,0.17948085159355745,0.04161392079768257
000220,2024,0.17948085159355745,0.04161392079768257
000230,2022,0.20411835352046712,0.0005277573360048108
000230,2023,0.03526294482994072,0.010057931532388526
000230,2024,-0.604529225965952,-0.1544589593272791
000240,2022,-0.2687526829338903,-0.16553036484621064
000240,2023,-0.9092073560537951,0.04753931828568662
000240,2024,-0.2026357975483201,-0.13128179585345343
000250,2022,-0.3597161410820035,-0.3929034821353866
000250,2023,0.2278114631279944,-0.7016330044825305
000250,2024,-0.16675905703766747,-0.36228698706283896
000270,2022,0.7474233061172111,-0.6294571242540489
000270,2023,0.7455314100866767,-0.7599564017194465
000270,2024,0.5853114877684291,-0.7538487782671287
000320,2022,0.22063979301099423,-0.6836747681336038
000320,2023,0.23996211847614649,-0.7824364163831647
000320,2024,0.3990187820917371,-0.8463124883715258
000370,2022,-1.0343904429508037,1.257725054622156
000370,2023,-0.8838818198230789,1.300640827036206
000370,2024,-1.1938658446813333,1.8436249249615762
000390,2022,0.015273383793652328,-0.34447432882225876
000390,2023,0.28677063164406824,-0.5020254959287218
000390,2024,0.4710454276533249,-0.29530625901007546
000400,2022,2.3472677554171955,-1.334553967214078
000400,2023,-1.203112846385005,0.9929350763027602
000400,2024,-1.998462564802018,0.3297093250738405
000430,2022,-1.1291540056071077,-0.49751531132294396
000430,2023,-1.271019526284438,-0.4418781952434232
000430,2024,-0.9759082473508686,-0.71200497754081
000480,2022,-1.3836629849601585,0.1126055751745566
000480,2023,-0.513794836751826,0.24638454409895932
000480,2024,-0.5406895160102128,0.013693765053566736
000490,2022,0.7996068982406332,0.09220764219644617
000490,2023,0.8843074517175111,-0.06250023419707308
000490,2024,0.5756071032489193,-0.2726900085465998
000500,2022,1.5998463986380338,0.28377830598269593
000500,2023,1.379529365795062,0.3044233892268456
000500,2024,1.3237479282716167,0.2102493031472368
000520,2022,-2.818212580018247,-0.10174621575263709
000520,2023,-2.818212580018247,-0.10174621575263709
000520,2024,-1.9032764947761012,1.1862769726107498
000540,2022,-1.20941950024334,0.3445605107920498
000540,2023,-2.3452090316371157,-0.37555441683180907
000540,2024,-2.0570639041161884,-0.6834233562826131
000590,2022,-1.6110579011138564,0.09404583266139148
000590,2024,-1.7912247605789142,0.15545731046468764
000640,2022,-0.23887808339276786,0.5114252244923679
000640,2023,-0.23775399341241327,0.6325068751394552
000640,2024,-0.6685822680138611,0.5950016634392381
000650,2022,-1.631984247927695,0.0036595008925447044
000650,2023,-1.72656367937499,0.09826442610368136
